HI-OE-R-EX-8-50871-1	p 值 = 0.123 因此 p>0.05 没有统计显著差异	hypothesis	0.9	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-52859-1	一旦进行了威尔科森测试，可以推断出样品中发现的差异是不可概括的。	hypothesis	0.8	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-53627-1	P 值为 >0.05， 因此测试在统计上没有显著性， 秃头和卡佩卢蒂之间没有区别	hypothesis	1	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-53868-1	秃头和头发同样吸引人。	hypothesis	0.6	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-54291-1	威尔科森测试的结果显示 p 值 > 0.05， 所以测试不显著， 因此我们必须接受假设没有， 我们不能概括到人口秃顶比较的结果	hypothesis	1	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-56268-1	p 值大于 0.05，因此测试在统计上不显著。因此，不能说秃头比头发更有吸引力	hypothesis	0.9	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-63024-1	由于 p 值 > 0.05，两组之间没有统计学上显著的区别，我们不能说披肩比秃头更漂亮，我们不接受假设。两组的区别基本上是由于偶然性。	hypothesis	1	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-63074-1	p 值 >0.05 接受 h0	hypothesis	0.7	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-EX-8-63770-1	在样本中，女性更喜欢capelluti，因为她们的中位数较低（8.5），但我们不能将结果扩展到总体，因为在 wilcox 测试中，p 值大于 0.05	hypothesis	1	1		HI-OE-R-EX-8-GS-1	看看p > 0.05 的值，我可以得出结论，在样本中观察到的差异在统计学上没有显著性，没有向人群推广，因此秃顶男人不再有吸引力。
HI-OE-R-178-10006-1	出生体重的分布可以视为正常，因为 p 值大于 0.05	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-54820-1	p 值 0.05 >，因此正态分布	normality	0.8	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-54864-1	由于 p 值大于 0.05，因此可以认为分布为正态。	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-54864-2	我使用 t.test 是因为从 shapiro.test p 值大于 0.05。我选择 t.test 而不是 ANOVA，因为变量 （SmokeMum） 的模式是两个 （Y， N）。	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55047-1	通过夏皮罗测试，我们可以考虑 p 值大于 0.05。这表示变量是参数化和法线。	normality	0.8	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55047-2	两个夏皮罗测试使我们能够理解所考虑的值是正常和参数化的。所以你必须运行 t. test 才能理解它是否具有通用性。	normality	0.6	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55051-1	p 值大于 0.05，这意味着检验没有统计显著性：确认分布可以视为正态的没有任何假设是可以接受的。	normality	0.8	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55231-1	p 值>0.05：分布为正态。	normality	0.8	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55231-2	要比较的数据是正向分布的（p值>0.05）：我们可以使用参数化测试。	normality	0.8	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-55443-1	由于 p 值为 0.05 >，变量是正常的	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-57183-1	夏皮罗测试返回一个 p 值，等于 0.7245，即大于 0.05;因此，出生体重变量是正向分布的。	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-178-62614-1	出生体重的分布是正常的，因为 p 值>0.05。	normality	1	1		HI-OE-R-178-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-179-10026-1	由于 p>0.05，出生体重变量是正常的，如有必要，应应用参数测试	normality	0.6	1		HI-OE-R-179-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
HI-OE-R-179-54811-1	权重分布可视为正态，因为 p 值>0.05	normality	1	1		HI-OE-R-179-GS-1	由于夏皮罗威尔克测试返回的 p 值为 > 0.05，因此我可以假设数据是从正态分布中提取的，然后使用参数测试。
