100	决定分拣策略的四个主要因素：分区、订单分割、订单分批、分类。	分配。	0.0
95	配送的种类按配送专业化程度分类，分为综合配送、专业配送。	（1）综合配送（2）专业配送。	1.0
79	配送中心绩效评价指标——人员负担和时间耗用	空间耗用。	0.0
78	数据编辑：主要是指属性编辑和图形编辑。	主要是指属性编辑。	0.5
64	GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。	特点：高精度等。	0.2
84	信息技术的融入为现代物流所带来的新特点：信息化，网络化，自动化，智能化，柔性化，标准化。	信息技术的融入为现代物流所带来的新特点包括柔性化，标准化。	0.4
82	建立明确的切实可行的KPI体系，是做好绩效管理的关键。	建立明确的切实可行的KPI体系，是做好绩效管理的关键。	1.0
69	按货架的封闭程度分类：敞开式货架、半封闭式货架、封闭式货架	（1）敞开式货架（2）半封闭式货架（3）封闭式货架。	1.0
97	订单处理的主要内容：订单内容确认；订单接收；订单资料输出；存货查询及依订单分配存货	订单处理的主要内容：订单内容确认；订单接收；订单资料输出。	0.8
54	运输调度的一般原则：实现运输生产过程的连续性、协调性、均衡性。	运输调度的一般原则：实现运输生产过程的平衡性。	0.0
61	配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；	配送作业流程包括进货。	0.2
69	按货架的封闭程度分类：敞开式货架、半封闭式货架、封闭式货架	完整式货架。	0.0
84	信息技术的融入为现代物流所带来的新特点：信息化，网络化，自动化，智能化，柔性化，标准化。	信息技术的融入为现代物流所带来的新特点有自动化，智能化，柔性化，标准化。	0.6
61	配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；	退货。	0.0
58	条码的类别：商品条码、物流条码、二维条码。	三维条码。	0.0
63	运输市场可以在以下几个方面发挥作用：提供运输供求信息；协调经济比例；刺激社会生产力发展。	创造资本。	0.0
66	运输方式选择的原则：安全性原则；及时性原则；准确性原则。	及时性原则；准确性原则。	0.7
73	运输系统的构成要素包括运输线路、运输节点 、运输工具及运输的参与者。	构成要素包括运输线路。	0.3
96	物流信息系统的组成：硬件，软件，数据库与数据仓库，人员。	硬件，软件，人员。	0.7
63	运输市场可以在以下几个方面发挥作用：提供运输供求信息；协调经济比例；刺激社会生产力发展。	运输市场可以在以下几个方面发挥作用：协调经济比例；刺激社会生产力发展。	0.7
64	GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。	高精度、操作简便	0.4
87	运输方式按运输中途是否换载分类：直达运输；中转运输	按运输中途是否换载分类，运输方式包括直达运输。	0.5
83	配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。	配送要素有集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。	1.0
56	批量分拣的优点：合计后拣货、效率较高；盘亏较少。	优点：合计后拣货、效率较高。	0.5
85	运输合同的主体：承运人；旅客；托运人；收货人。	送货人。	0.0
75	公路运输的优缺点：优点——门到门、近距离运送快、包装简单经济。缺点——运量少、交通事故频繁。	缺点——运量少。	0.2
75	公路运输的优缺点：优点——门到门、近距离运送快、包装简单经济。缺点——运量少、交通事故频繁。	优点——近距离运送快、包装简单经济。缺点——运量少、交通事故频繁。	0.9
58	条码的类别：商品条码、物流条码、二维条码。	条码的类别：商品条码、物流条码、二维条码。	1.0
81	配送作业中拣货包装单位通常有以下四种：单件、托盘、箱、特殊物品。	（1）单件（2）托盘（3）箱（4）特殊物品。	1.0
60	信息技术的融入为现代物流所带来的新特点：信息化，网络化，自动化，智能化，柔性化，标准化。	信息技术的融入为现代物流所带来的新特点：标准化。	0.1
58	条码的类别：商品条码、物流条码、二维条码。	类别包括物流条码、二维条码。	0.7
83	配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。	配送要素包括配货、配装、配送运输、送达服务。	0.5
65	入库作业管理包括：收货；组盘和注册；上架	收货；组盘和注册	0.7
95	配送的种类按配送专业化程度分类，分为综合配送、专业配送。	配送的种类按配送专业化程度分类，分为综合配送。	0.5
99	铁路运输的优缺点：优点——安全、运输网遍及全球、一次有效运输、受气候影响小。缺点——灵活性差、不适合短途运输。	铁路运输的优缺点：优点——安全、运输网遍及全球。缺点——灵活性差、不适合短途运输。	0.6
100	决定分拣策略的四个主要因素：分区、订单分割、订单分批、分类。	分区、订单分批、分类。	0.6
90	配送中心各阶段包括：配送中心评估阶段；配送中心设计阶段；配送中心实施阶段。	配送中心包括配送中心检查等阶段。	0.0
76	分区分类应考虑的因素：物品所需的储存条件；仓库空间利用率；地坪载荷；仓库设施条件。	因素：地坪载荷；仓库设施条件。	0.5
89	航空运输的优缺点——优点——速度最快。缺点——费用最高，有重量限制。	优点——速度最快。缺点——费用最高，有重量限制。	1.0
73	运输系统的构成要素包括运输线路、运输节点 、运输工具及运输的参与者。	运输系统包括运输工具及运输的参与者等构成要素。	0.5
96	物流信息系统的组成：硬件，软件，数据库与数据仓库，人员。	物流信息系统的组成包括数据库与数据仓库。	0.4
57	一维条码的特点：信息密度低，信息容量较小，可通过校验字符进行错误校验，没有错纠能力。	可通过校验字符进行错误校验，没有错纠能力。	0.5
64	GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。	（1）高精度（2）全天候（3）高效率（4）多功能（5）操作简便。	0.8
64	GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。	GPS系统特点：高精度、全天候、高效率、多功能、操作简便、应用广泛等。	1.0
81	配送作业中拣货包装单位通常有以下四种：单件、托盘、箱、特殊物品。	配送作业中拣货包装单位通常有特殊物品等。	0.3
