16	4.5	[19]	如果变量声明为全局变量，则任何函数或类都可以使用该变量。
6	4.5	[14]	这取决于它是一个™，那么它们必须声明出要在每个作用域中使用的源代码，但是局部变量是本地函数中声明的变量等，这显然不需要在变量之外声明 ™，看看它如何用于函数或阻止其被调用。
19	4	[15]	按其签名（返回类型、参数列表）
6	2	[28]	变量在主函数中声明，在尝试<br><br>任何操作之前。
15	3	[22]	输入参数和返回类型
10	4	[13]	构造函数在实例化对象时设置变量的默认值，而函数允许与该对象交互。
21	5	[6]	两者都涉及受控的重复结构，并且它们都有终止测试。 此外，他们两个可以永远循环。
12	1.5	[30]	这取决于类中的数据成员数
11	5	[17]	当不需要构造函数时，将声明一个无参数的默认构造函数。
15	5	[14]	它包括函数的名称及其参数的类型。它不指定函数返回类型。同一作用域中的函数必须具有取消qiue 签名。
11	5	[16]	当类未明确包含 consructor 时，编译器将提供一个。
13	5	[15]	函数原型仅命名函数、其返回类型和参数列表，而定义定义上述以及函数实际操作的功能。
15	4.5	[6]	它包括程序的名称，它可以采取的参数的类型。它还应包括函数作用的简要说明。
21	5	[1]	基于控制语句; 涉及重复;涉及终端测试;两者都可能发生在<br>
8	5	[15]	类变量，类的函数定义
8	4.5	[14]	类是数据结构的扩展概念，它同时保存数据和正在执行的函数
20	5	[28]	函数绝不允许到达"基本案例"
11	5	[15]	当您不指定任何构造函数时。
3	4.5	[27]	它们使重用和调整以前编写的代码更加容易，并且它们将复杂程序分离成更小、更易于理解的类。
19	5	[2]	唯一函数签名
15	3	[5]	它包括有关函数的特定信息，如输入和输出变量类型以及每种变量类型中有多少个。
17	2.5	[18]	编译器忽略内联限定符
20	5	[15]	它没有基本案例， 或基本案例永远不会满足
16	4.5	[2]	整个程序
14	3	[21]	声明类中使用的函数
5	4	[9]	它是值/数字的元或名称。示例："a_used_number"可以代表任何给定的数字，程序员可以使用变量名称引用该数字。
5	5	[3]	变量是计算机内存中的位置，可以在其中存储值，以后可以检索该值。
12	5	[21]	尽可能多的， 你需要
3	3.5	[15]	现有的类可以重复使用<br>和验证更容易
3	3.5	[8]	面向对象编程的主要优点是现有类可以重用，并且程序维护和验证更容易。<br>
10	4	[10]	构造函数没有返回类型。
12	0	[20]	一
6	1.5	[12]	在顶部
4	5	[14]	在主函数内
21	5	[17]	既基于控制语句， 涉及重复， 也涉及循环内的终止测试
8	3.5	[21]	关键字类后跟类名，内部声明类的公有和私有声明
18	3.5	[17]	直接提供对调用方数据的访问权限，还允许修改数据。
18	5	[21]	你不做另一个副本和浪费内存
13	3.5	[17]	函数原型只是现有函数的声明，不能用作实际函数。必须使用 内部定义创建函数，以告诉编译器函数的作用。
9	5	[30]	局部变量仅在定义它的函数中可用，而数据成员可用于其类中的任何方法
6	4.5	[2]	全局用于整个程序，并本地用于单个函数（包括 FOR 语句）
20	5	[26]	没有基本<br>， 如果程序马尔没有将基本大小写定义为最简单的情况， 并且永远不会到达
21	5	[20]	两者都基于控制语句，两者都涉及重托，都涉及终止测试，两者都逐渐接近终止，两者都可能发生在内特。
11	5	[12]	每当你不指定你自己的
5	2	[6]	变量可以是程序中的整数或字符串。
11	5	[6]	当我们不在类文件中定义一个构造函数时，编译器将创建一个默认构造函数
15	5	[7]	函数名称和输入参数
2	2	[23]	-验证<br> - 调试
19	5	[9]	它根据函数调用中参数的数量、类型和顺序选择要执行的正确函数。
18	5	[8]	通过引用传递可以消除复制大量数据的按值传递开销。
8	4.5	[30]	一个构造函数和几个数据成员，以及至少一个公共数据成员或方法
15	5	[13]	函数签名包括方法名称和输入类型。
2	2	[24]	细化、构建和过渡都受测试影响
18	5	[11]	如果函数的参数大小较大，则计算时间和内存空间不会浪费复制参数并传递到函数。 通过引用传递也给出了称为函数直接读取编辑参数的权限。
12	5	[14]	用户决定使用的。
17	4.5	[12]	如果函数足够小，它将扩展它，但它将运行得更快，因为它将避免对函数进行这么多调用。
21	5	[11]	迭代和递归都使用重复，并连续执行几个简单的操作和算法，直到它们达到一定的限制。 因此，两者都涉及终止测试以查找该限制，并且两者都缓慢地接近该终止限制。 两者都基于控制语句。 <br><br>如果编码错误，两者都可以永远继续，直到编译器或计算机锁定、关闭或停止操作。
20	5	[1]	没有容易到达的基本案例，也没有基本案例
6	5	[8]	局部变量在方法或函数中声明，它们将在方法的开头使用。全局变量声明在任何函数或方法之外，通常在定义函数之前。
18	5	[15]	仅将内存地址发送到函数，因此无需复制发送的对象。它使函数运行得更快，并节省内存。
12	0	[28]	一
18	5	[23]	它支持了复制大量数据所需的需求
10	3	[27]	构造函数将类对象创建到内存中，其中函数对该对象执行操作
9	4.5	[21]	局部变量仅在其声明范围内使用
12	5	[8]	类中的构造函数数没有限制，因为与函数一样，构造函数可以重载。
8	5	[3]	由于类是用户定义的，因此声明的正文可以包含成员，可以是数据或函数声明，也可以是访问指定器。 说明符的示例将是公共的、私有的和受保护的。 有关键字类，类正文用括号 （+） 括起来。
13	2.5	[5]	函数原型是程序员声明他/她使用的是 main （这就像声明一个变量，程序员知道他/她将来将使用，但还没有说他们将在哪里使用它，或如何使用它。这是回答谁的问题，它给函数一个名称和字符。函数原型，按常用做法放置在程序的开头后，#includes主（） 之前。<br>函数定义是函数的内脏。这是程序员决定函数要做什么并告诉它如何执行它的地方。它包含任何信息，并执行操作。它的工作原理有点像大脑，大脑接受输入，并基于输入执行某种方式产生输出。函数定义位于主 （ ） 和任何其他函数之外。函数是它自己的实体，应该这样考虑。
17	3	[3]	编译器可以忽略内联限定符，通常对除了最小函数的所有函数都忽略。
20	5	[16]	省略基本大小写，或不正确地写入递归步骤
19	3	[24]	按其类型（int、字符等）
13	4.5	[18]	函数原型描述类的公共接口
13	4.5	[7]	原型创建一个框架来调用函数定义。虽然函数定义是函数实际编程并创建为最终产品的地方。
13	2	[31]	函数定义就是这个定义。原型是编译器用来检查对函数的调用是否正确的。
6	2.5	[24]	为了良好的编程实践，应在 main（） 之前声明它们，但至少应在使用之前声明它们。
4	5	[21]	在主（） 函数中。
11	5	[22]	当特定类还没有一个时
11	3	[3]	当不设置参数时，即使用默认构造函数时。
8	4.5	[7]	该类可访问的构造函数、函数和变量，可能还可访问其他类，具体取决于它们如何完成。
6	4.5	[3]	变量在本地块内或全局块外部定义的地方声明。
14	3	[28]	类定义放在这里
17	4.5	[5]	当编译器内联扩展函数调用时，函数的代码将插入到调用方的代码流中（在概念上类似于使用宏#define情况）。这可以从其他一些情况来提高性能，因为优化器可以在程序上将调用的代码集成为"将被调用的代码优化到调用方中。<br><br>
9	5	[4]	不能在声明本地变量的函数之外访问局部变量。数据成员通常是私有的。声明私有的函数的变量只能对声明它们的类的成员函数进行访问。
1	2	[13]	原型程序提供了一个基本的基础，从中可以进一步增强和改进问题的解决方案。
17	2	[21]	它把它们当作相同的功能
12	5	[7]	理论上是无限的，只要它们是由程序员定义的。
5	5	[8]	变量是内存中可以存储值的位置。
18	3.5	[7]	较低的开销，并直接修改变量。
4	2.5	[12]	在根
21	5	[31]	两者都基于控制语句， 两者都涉及重复， 两者都涉及终止测试， 两者都逐渐接近终止， 两者都可以无限发生
1	1.5	[19]	原型程序用于解决问题，以收集问题数据。
13	4	[20]	函数原型仅指定参数。 函数定义包括参数和代码体。
7	5	[4]	do...while 语句通常在循环的末尾，因此它至少运行一次。至于 while 语句，如果条件一开始为 false，则循环将永远不会运行。
19	5	[10]	其参数的数量和类型。
10	4	[17]	构造函数初始化数据成员，但函数实际执行任务。构造函数也不能返回值。
15	5	[30]	函数的名称及其参数的类型。
12	5	[5]	只要它们具有不同的参数，就尽可能多。
16	5	[30]	整个程序或文件。
21	5	[8]	迭代和递归都基于控制语句，并涉及重复。它们也可以无限期地发生。
10	4	[16]	构造函数不能返回值，甚至不能 void，但函数获取返回值。
9	2	[19]	成员函数中的局部变量必须为静态变量。数据成员可以自由更改其值。
12	2.5	[17]	这取决于对象的数量。每个对象都应该有一个构造函数。
3	3.5	[28]	现有的类可以重复使用，程序维护和验证<br><br>更可怕。
12	0	[9]	1
19	3	[14]	重载函数只是 invovles 在类中使用相同的名称。重载基于对象存在的上下文为对象提供不同含义的概念。重载是多态性之一，这也是编程中的一个功能。
17	3	[29]	编译器可以忽略内联限定符，通常对除了最小函数的所有函数都忽略。
10	3.5	[21]	构造函数在其实例化执行时初始化值。它提供默认值。
13	3	[3]	函数原型是一个声明。 函数定义（带多个参数）通常需要多条信息。执行他们的任务。
9	4.5	[28]	本地变量仅在成员函数内访问，而<br><br>整个类中可以访问数据成员
1	5	[29]	刺激所需软件产品部分行为的程序。
18	3	[25]	使调用函数能够直接访问和修改调用方的参数数据。
5	5	[1]	变量是计算机内存中可以存储值以供程序使用的位置。
14	4	[19]	标头文件声明类、其数据和通过该类可用的函数。
15	5	[12]	函数及其参数的数据类型的标识，具有名称和数据类型变量
8	5	[10]	成员函数和数据成员。
6	3	[29]	它们通常在开始声明，然后才能在程序中使用。它们始终包含名称和数据类型。<br>
15	5	[16]	函数原型包含函数名称及其参数类型的部分
7	5	[7]	一个做...while 循环将始终运行一次，而 while 循环<br>运行循环之前执行测试。
9	4.5	[26]	数据<br><br>本地变量在函数定义中声明™的正文<br>它们不能在该功能体之外使用。<br>函数终止时，其局部变量的值将丢失。<br><br><br>
11	5	[10]	在任何未显式包含构造函数的类中。
16	5	[13]	全局变量的范围在文件级别。
5	5	[29]	它是计算机内存中可存储供程序使用的位置。
